
v1	v2	v3	v4	v5	v6	v7	v8	time
-0.0012797	0.000618	-0.0978721	-0.0099427	-0.0397037	-0.0417311	-0.0288508	-0.0021203	1418.11
-0.001262	0.0007101	-0.0991445	-0.0099343	-0.0402812	-0.0422906	-0.0291534	-0.0020562	1430.69
-0.001304	0.0006696	-0.100332	-0.0099542	-0.0407331	-0.0427855	-0.029512	-0.0020045	1443.26
-0.0012908	0.0007462	-0.1014553	-0.0099326	-0.0412853	-0.0433095	-0.0298176	-0.0019733	1455.82
-0.0012443	0.000682	-0.1025162	-0.0099209	-0.0417622	-0.0437944	-0.0301167	-0.0019012	1468.39
-0.0011985	0.0007664	-0.1035725	-0.0099667	-0.0421606	-0.0442257	-0.0303777	-0.001926	1480.94
-0.001262	0.0007843	-0.1045323	-0.0099848	-0.0425195	-0.044639	-0.0306607	-0.0018597	1493.49
-0.0012269	0.0008257	-0.1054614	-0.009968	-0.0429442	-0.0450444	-0.0308766	-0.001838	1506.02
-0.0012238	0.0008282	-0.1063191	-0.0099375	-0.043286	-0.0453721	-0.0310914	-0.0017855	1518.58
-0.0011728	0.0008486	-0.1070707	-0.0099466	-0.043632	-0.0457479	-0.0312995	-0.0017832	1531.14
-0.001215	0.0009183	-0.1077745	-0.0099143	-0.0439286	-0.0461237	-0.0314634	-0.0017464	1543.71
-0.001143	0.0008958	-0.1085078	-0.009951	-0.0442774	-0.0463752	-0.0316651	-0.0017097	1556.32
-0.0011758	0.0009056	-0.1091903	-0.0099577	-0.0445546	-0.0466466	-0.0318645	-0.0016981	1568.87
-0.001154	0.0009283	-0.1097802	-0.0099451	-0.0447844	-0.0469667	-0.0320529	-0.001647	1581.43
-0.0011324	0.0009371	-0.1104226	-0.0099278	-0.0450751	-0.047177	-0.0322197	-0.0016478	1593.97
-0.0011544	0.0009522	-0.1109104	-0.009969	-0.0452696	-0.0474338	-0.0323548	-0.0016207	1606.55
-0.0011867	0.000999	-0.1114311	-0.0099352	-0.0454992	-0.0476631	-0.032486	-0.0015768	1619.12
-0.0011561	0.0009942	-0.1119277	-0.0099542	-0.045744	-0.0478601	-0.0326172	-0.0016295	1631.73
-0.0011759	0.0009846	-0.1124145	-0.009997	-0.0459106	-0.0480661	-0.0327418	-0.0015671	1644.32
-0.0011138	0.0010381	-0.1128491	-0.0099561	-0.0461116	-0.0482694	-0.0328723	-0.0015224	1656.86
-0.0011238	0.0010381	-0.1132908	-0.0099558	-0.0462662	-0.0484589	-0.0329587	-0.001534	1669.45
-0.0011191	0.001047	-0.1136509	-0.0099584	-0.0464353	-0.0486132	-0.0330937	-0.0015458	1682.04
-0.0011132	0.0010635	-0.1139424	-0.0099563	-0.0465571	-0.0487322	-0.0331748	-0.0015021	1694.65
-0.0010804	0.0010529	-0.1142672	-0.0099668	-0.0467146	-0.0489183	-0.0332527	-0.0014785	1707.2
-0.001132	0.0010799	-0.1145697	-0.009958	-0.046826	-0.0489943	-0.0333588	-0.0014742	1719.76
-0.0011724	0.0010215	-0.1148638	-0.0099435	-0.0469408	-0.0491588	-0.0334392	-0.00147	1732.34
-0.0011032	0.0010811	-0.1151301	-0.0099452	-0.0470516	-0.0492484	-0.0334445	-0.0014303	1744.91
-0.001102	0.0010919	-0.1153768	-0.0099551	-0.0471758	-0.0493682	-0.0335464	-0.0014515	1757.48
-0.0011068	0.0011032	-0.1156078	-0.0099361	-0.0472786	-0.0494767	-0.0335718	-0.0014319	1770.11
-0.0010974	0.0011215	-0.1158203	-0.0099581	-0.047331	-0.0495484	-0.0336751	-0.0014267	1782.71
-0.0010935	0.0011094	-0.1160281	-0.0099573	-0.0474532	-0.0496268	-0.0337136	-0.001413	1795.29
-0.001088	0.00109	-0.1162386	-0.0099635	-0.0475466	-0.0497425	-0.0337839	-0.0014238	1807.88
-0.0011094	0.001105	-0.116413	-0.0099452	-0.0476076	-0.0498105	-0.0338539	-0.0013831	1820.48
-0.0010917	0.0011289	-0.1166065	-0.0099705	-0.0477038	-0.0498775	-0.0338596	-0.0014136	1833.11
-0.0010779	0.0011437	-0.116784	-0.009966	-0.0477719	-0.049954	-0.0338993	-0.0013764	1845.69
-0.0010939	0.0011292	-0.1169539	-0.0099454	-0.047836	-0.0500496	-0.0339475	-0.0013948	1858.29
-0.0010873	0.0011191	-0.1170856	-0.0099604	-0.0478822	-0.0500757	-0.0340245	-0.0013679	1870.86
-0.0011002	0.0011308	-0.1172381	-0.0099912	-0.0479603	-0.0501521	-0.034083	-0.0013835	1883.45
-0.001045	0.0011643	-0.1173867	-0.0099138	-0.0480113	-0.0502384	-0.0341009	-0.0013566	1896.02
-0.0010325	0.0011507	-0.1175161	-0.0099315	-0.0480698	-0.0502625	-0.0341145	-0.0013695	1908.58
-0.0010862	0.001168	-0.117653	-0.0099621	-0.0481414	-0.0503489	-0.0341458	-0.0013017	1921.19
-0.0010329	0.0011364	-0.1177747	-0.0099423	-0.0482369	-0.0504003	-0.0342197	-0.0013476	1933.81
-0.001026	0.0011429	-0.1178866	-0.0099674	-0.0482524	-0.0504925	-0.0342229	-0.001355	1946.46
-0.0010408	0.0011596	-0.1180217	-0.009976	-0.0482711	-0.0505042	-0.0342125	-0.0013475	1959.07
-0.0010255	0.0011944	-0.1181387	-0.0099508	-0.0483393	-0.0505736	-0.0342675	-0.001322	1971.66
-0.0010736	0.0011604	-0.1182779	-0.0099761	-0.0483932	-0.0506472	-0.0342928	-0.0013517	1984.2
-0.0010946	0.0011613	-0.1183721	-0.0099654	-0.0484364	-0.0506819	-0.0343882	-0.0013257	1996.84
-0.0010593	0.0011861	-0.118457	-0.0099503	-0.048498	-0.0507206	-0.034399	-0.0013324	2009.43
-0.001061	0.0012117	-0.1186062	-0.0099718	-0.0485597	-0.0507662	-0.0344097	-0.0013023	2022.07
-0.0010511	0.0011773	-0.1187358	-0.009939	-0.0486035	-0.0508869	-0.0344742	-0.0013257	2034.67
-0.0010521	0.0011769	-0.1188846	-0.0099706	-0.0486482	-0.0509378	-0.0344904	-0.0012618	2047.22
-0.0010437	0.0011914	-0.1190472	-0.0099561	-0.0487269	-0.050992	-0.0345686	-0.0013139	2059.79
-0.0010393	0.0012237	-0.1192579	-0.009938	-0.0487836	-0.0510404	-0.0345716	-0.0012869	2072.38
-0.0010631	0.0011948	-0.1194089	-0.0099498	-0.0489083	-0.0511766	-0.0346577	-0.0012738	2085.02
-0.0010504	0.0012176	-0.1195965	-0.0099644	-0.048951	-0.0511983	-0.0346658	-0.0012781	2097.62
-0.0010372	0.001204	-0.1197357	-0.0099353	-0.0490283	-0.0512768	-0.0347025	-0.0012733	2110.18
-0.000987	0.0012047	-0.1198929	-0.0099668	-0.0490943	-0.051335	-0.0348048	-0.0012812	2122.8
-0.0010475	0.0011902	-0.1200039	-0.0099815	-0.0491612	-0.0514083	-0.0347966	-0.0012772	2135.36
-0.0010459	0.0012084	-0.1201355	-0.0099544	-0.0492088	-0.0514876	-0.0348411	-0.001251	2147.98
-0.0010304	0.0012086	-0.1202611	-0.0099587	-0.0492685	-0.0515195	-0.0349137	-0.0012657	2160.56
-0.0010228	0.00125	-0.1203784	-0.0099931	-0.049315	-0.0515488	-0.0349382	-0.0012607	2173.15
-0.0010247	0.0012334	-0.120508	-0.0099396	-0.0493761	-0.0516052	-0.034949	-0.0012443	2185.77
-0.0010018	0.0012165	-0.1206844	-0.0099675	-0.049438	-0.0516702	-0.0350041	-0.0012471	2198.41
-0.0010505	0.0012104	-0.1208781	-0.0099462	-0.0495314	-0.0518122	-0.0350837	-0.001202	2211.01
-0.001007	0.0013076	-0.1211045	-0.0099768	-0.0495812	-0.0518461	-0.0350953	-0.0012393	2223.62
-0.0010442	0.0012525	-0.1214005	-0.0099353	-0.0497305	-0.0520333	-0.0352219	-0.0012114	2236.21
-0.0010417	0.0012635	-0.1216789	-0.0099695	-0.0498555	-0.0521529	-0.0352634	-0.0012172	2248.8
