
v1	v2	v3	v4	v5	v6	v7	v8	volt
0.0007754	0.0037852	-0.1784027	-0.0099535	-0.0744088	-0.0773814	-0.0513682	0.0008688	0.144
0.000821	0.0037849	-0.1784194	-0.00996	-0.0744043	-0.0773924	-0.0513399	0.0008573	0.144
0.0008028	0.0038065	-0.1784339	-0.0099552	-0.0743727	-0.0773511	-0.0513633	0.0008659	0.144
0.0008385	0.0038003	-0.1784019	-0.0099515	-0.0744075	-0.0774129	-0.0513747	0.0008774	0.144
0.0009948	0.0040156	-0.1767725	-0.0099462	-0.0737239	-0.0766101	-0.0510265	0.0008663	0.125
0.0010758	0.0039712	-0.1767892	-0.0099287	-0.0737207	-0.0766222	-0.0510339	0.0008599	0.125
0.0010628	0.0039746	-0.1767337	-0.0099981	-0.0737094	-0.076581	-0.0510582	0.0008451	0.125
0.0010399	0.0039855	-0.1767542	-0.0099475	-0.0737073	-0.0765929	-0.0510224	0.0008702	0.125
0.0010893	0.0039973	-0.1767882	-0.0099659	-0.0736886	-0.0766128	-0.0510323	0.0008678	0.125
0.0013645	0.0042055	-0.1753009	-0.0099347	-0.0730329	-0.0759528	-0.0507776	0.0008579	0.106
0.0013535	0.0042108	-0.175276	-0.0099208	-0.0730299	-0.0759074	-0.0507441	0.0008698	0.106
0.001369	0.0042329	-0.175256	-0.0099211	-0.0730791	-0.0758666	-0.0507874	0.0008665	0.106
0.0013333	0.004219	-0.1752851	-0.0099451	-0.073028	-0.0758608	-0.0507405	0.0008673	0.106
0.0013673	0.0041964	-0.1752792	-0.0099216	-0.0730064	-0.0758737	-0.0507463	0.0008693	0.106
0.0016706	0.0044134	-0.1739982	-0.00995	-0.0724597	-0.075237	-0.050557	0.000874	0.086
0.0017058	0.0044247	-0.17396	-0.0099685	-0.0725024	-0.07528	-0.0505473	0.0008643	0.086
0.0016739	0.0044294	-0.1739788	-0.0099999	-0.0725113	-0.0752354	-0.0505393	0.0008676	0.086
0.0016581	0.0044659	-0.1739836	-0.0099662	-0.0724902	-0.0752753	-0.0505462	0.0008713	0.086
0.0016722	0.0044737	-0.1739723	-0.0099193	-0.0724875	-0.0752454	-0.0505388	0.0008578	0.086
0.0019673	0.0046796	-0.1728511	-0.0099526	-0.0720004	-0.0747507	-0.0503938	0.0008564	0.067
0.0020275	0.0047347	-0.1729396	-0.0099263	-0.072036	-0.0747457	-0.0503987	0.0008401	0.067
0.0020805	0.0047675	-0.1729049	-0.009936	-0.0720361	-0.0747337	-0.0504277	0.0008352	0.067
0.002022	0.0047418	-0.1729302	-0.0099268	-0.0719969	-0.0747435	-0.0503935	0.0009065	0.067
0.0020859	0.0047154	-0.1729375	-0.0099367	-0.0720604	-0.0746839	-0.0504296	0.0008747	0.067
0.0024109	0.0050374	-0.1721577	-0.0099228	-0.0717061	-0.0742824	-0.0503874	0.000865	0.045
0.0024546	0.0050498	-0.172163	-0.0099473	-0.0717157	-0.0742595	-0.0503872	0.0008674	0.045
0.0024638	0.0050519	-0.1721568	-0.0099082	-0.0717299	-0.0742731	-0.0503794	0.0008634	0.045
0.002488	0.0049992	-0.1721516	-0.0099729	-0.0717102	-0.0742946	-0.0503979	0.0008508	0.045
0.0024305	0.0050466	-0.1721642	-0.0099543	-0.0716942	-0.0743158	-0.0503913	0.0008727	0.045
0.0028554	0.0053301	-0.1718291	-0.0099205	-0.0715705	-0.0740779	-0.0504905	0.0008534	0.028
0.0028566	0.0053423	-0.1718687	-0.0099569	-0.0715874	-0.0740887	-0.0504796	0.0008738	0.028
0.0028663	0.0053664	-0.1718337	-0.0099346	-0.0715871	-0.0740799	-0.050471	0.000874	0.028
0.002875	0.0053809	-0.1718901	-0.0098944	-0.0716318	-0.0740765	-0.0504935	0.0008564	0.028
0.0028652	0.0053454	-0.1718596	-0.0099737	-0.0715952	-0.0740638	-0.0505107	0.0008619	0.028
0.0030908	0.0054792	-0.171802	-0.0099526	-0.07163	-0.0740213	-0.0505235	0.0008868	-0.028
0.0030434	0.0054649	-0.1718111	-0.0099584	-0.0716087	-0.0740619	-0.0505451	0.0008846	-0.028
0.0030074	0.0054627	-0.1718199	-0.0099896	-0.0716203	-0.0740486	-0.0505371	0.0008803	-0.028
0.0030253	0.005489	-0.1718446	-0.0099831	-0.0715849	-0.0740364	-0.0505645	0.0009166	-0.028
0.003064	0.005461	-0.1718382	-0.0099548	-0.0715649	-0.0739977	-0.0505483	0.0008795	-0.028
0.0034601	0.0057784	-0.1720894	-0.0099398	-0.071744	-0.0740924	-0.0507965	0.0008639	-0.045
0.0034732	0.0058025	-0.1720976	-0.0099404	-0.0717209	-0.0740618	-0.0507739	0.0008961	-0.045
0.0034699	0.0058279	-0.1720879	-0.0099512	-0.0717496	-0.0740597	-0.0507752	0.0008959	-0.045
