
v1	v2	v3	v4	v5	v6	v7	v8	volt	angle
0.0042168	0.0063629	-0.1722165	-0.0100017	-0.0718769	-0.0741135	-0.051181	0.0008511	120.0	0.013
0.0046973	0.0071578	-0.1722706	-0.0099097	-0.0718644	-0.0742625	-0.0515172	0.0008541	160.0	0.013
0.0046653	0.0070801	-0.1722979	-0.0099445	-0.0718474	-0.0742772	-0.0515166	0.0008656	160.0	0.013
0.0046581	0.0070961	-0.1722874	-0.0099644	-0.0718305	-0.0743026	-0.0515234	0.0008585	160.0	0.013
0.004482	0.0070365	-0.1722983	-0.0099609	-0.0718337	-0.0743714	-0.0514816	0.0008561	200.0	0.013
0.0044915	0.0070244	-0.1722954	-0.0099473	-0.0718152	-0.0743754	-0.0514542	0.0008181	200.0	0.013
0.0045286	0.0070267	-0.1723061	-0.0099726	-0.0718559	-0.074348	-0.0514777	0.0008475	200.0	0.013
0.0033519	0.0060196	-0.1723336	-0.0099475	-0.0717888	-0.0744917	-0.0509325	0.0008663	240.0	0.013
0.0033692	0.006099	-0.1723454	-0.0099426	-0.071815	-0.074464	-0.0508958	0.000906	240.0	0.013
0.0033825	0.0060459	-0.1723303	-0.0099673	-0.0717856	-0.0744851	-0.0509156	0.0008638	240.0	0.013
0.0022362	0.0048327	-0.1723317	-0.0099457	-0.0718011	-0.0744589	-0.0503452	0.000835	280.0	0.013
0.0021738	0.0048899	-0.1723344	-0.0099654	-0.0718259	-0.074475	-0.0503062	0.0008644	280.0	0.013
0.0022285	0.0048929	-0.1723226	-0.0099571	-0.0717944	-0.0744018	-0.0503824	0.0008536	280.0	0.013
0.00149	0.0039698	-0.1723555	-0.0099792	-0.0718044	-0.0743558	-0.0498796	0.0008544	320.0	0.013
0.0014097	0.0039801	-0.1723329	-0.0099474	-0.0717941	-0.0743821	-0.0499435	0.0009191	320.0	0.013
0.0014139	0.0039666	-0.1723442	-0.0099626	-0.0718231	-0.0743577	-0.0499356	0.0008371	320.0	0.013
